A Adair                          , COPART INC
Andrew Teich                     , FLIR SYSTEMS INC
Andrew Liveris                   , DOW CHEMICAL
Andrew Alexander                 , WEINGARTEN REALTY INVST
Andrew Krakauer                  , CANTEL MEDICAL CORP
Andrew Silvernail                , IDEX CORP
Andrew Silberfein                , ROUSE PROPERTIES INC
Andrew Wilson                    , ELECTRONIC ARTS INC
Andrew Jacobs                    , CAPSTEAD MORTGAGE CORP
Andrew Mooney                    , QUIKSILVER INC
Andrew Rees                      , CROCS INC
Andrs Weilert                    , AES CORP
Angel Martinez                   , DECKERS OUTDOOR CORP
Anil Singhal                     , NETSCOUT SYSTEMS INC
Anthony Alexander                , FIRSTENERGY CORP
Anthony Petrello                 , NABORS INDUSTRIES LTD
Anthony Guzzi                    , EMCOR GROUP INC
Anthony Best                     , SM ENERGY CO
Anthony Aquila                   , SOLERA HOLDINGS INC
Anthony Allott                   , SILGAN HOLDINGS INC
Anthony Truesdale                , VITAMIN SHOPPE INC
Anthony Sanfilippo               , PINNACLE ENTERTAINMENT INC
Anthony Earley Jr                , PG&E CORP
Anthony Smeraglinolo             , ENGILITY HOLDINGS INC
Anthony Moraco                   , SCIENCE APPLICATIONS INTL CP
Anthony Thompson                 , KRISPY KREME DOUGHNUTS INC
Antonio Urcelay                  , TOYS R US INC
Antonio Pietri                   , ASPEN TECHNOLOGY INC
Ara Hovnanian                    , HOVNANIAN ENTRPRS INC  -CL A
Ari Bousbib                      , IMS HEALTH HOLDINGS INC
Arne Sorenson                    , MARRIOTT INTL INC
Arnold Donald                    , CARNIVAL CORP/PLC USA
Arthur Zafiropoulo               , ULTRATECH INC
Arthur Coppola CPA               , MACERICH CO
Arthur Bedrosian JD              , LANNETT CO INC
Arthur Przybyl                   , ANI PHARMACEUTICALS INC
Ashok Vemuri                     , IGATE CORP
Ashton Ryan Jr CPA               , FIRST NBC BANK HOLDING CO
Augustus McLean III              , WORLD ACCEPTANCE CORP/DE
Aurelio Aleman-Bermudez          , FIRST BANCORP P R
Bahram Akradi                    , LIFE TIME FITNESS INC
Balu Balakrishnan                , POWER INTEGRATIONS INC
Barbara Rentler                  , ROSS STORES INC
Barry Diller                     , IAC/INTERACTIVECORP
Barry Smith                      , MAGELLAN HEALTH INC
Barton Brookman Jr               , PDC ENERGY INC
Beatrice Lafon                   , CLAIRES STORES INC
Ben Leedle Jr                    , HEALTHWAYS INC
Benjamin Fowke III               , XCEL ENERGY INC
Benjamin Brock PhD               , ASTEC INDUSTRIES INC
Benson Smith                     , TELEFLEX INC
Bernard Duroc-Danner PhD         , WEATHERFORD INTL PLC
Bernard Saul II                  , SAUL CENTERS INC
Bernard Clineburg                , CARDINAL FINANCIAL CORP
Bernardo Hees                    , KRAFT HEINZ CO
Beth Mooney                      , KEYCORP
Blake Krueger                    , WOLVERINE WORLD WIDE
Blake Nordstrom                  , NORDSTROM INC
Blake DeBerry                    , DRIL-QUIP INC
Bob Sasser                       , DOLLAR TREE INC
Brad Smith                       , INTUIT INC
Bradley Tilden                   , ALASKA AIR GROUP INC
Bradley Dodson                   , CIVEO CORP
Bret Wise                        , DENTSPLY INTERNATL INC
Brian Roberts                    , COMCAST CORP
Brian Shore                      , PARK ELECTROCHEMICAL CORP
Brian Kenney                     , GATX CORP
Brian Goldner                    , HASBRO INC
Brian Jellison                   , ROPER TECHNOLOGIES INC
Brian Moynihan                   , BANK OF AMERICA CORP
Brian Concannon                  , HAEMONETICS CORP
Brian Bronson                    , RADISYS CORP
Brian Lipke                      , GIBRALTAR INDUSTRIES INC
Brian Lane                       , COMFORT SYSTEMS USA INC
Brian Driscoll                   , DIAMOND FOODS INC
Brian Krzanich                   , INTEL CORP
Brian Kelley                     , KEURIG GREEN MOUNTAIN INC
Brian Cornell                    , TARGET CORP
Bruce Campbell                   , FORWARD AIR CORP
Bruce Foster                     , 4LICENSING CORP
Bruce Efird                      , FREDS INC
Bruce Williamson                 , CLECO CORP
Bruce Hoechner                   , ROGERS CORP
Bruce Cazenave                   , NAUTILUS INC
Bruce Broussard                  , HUMANA INC
Bruce Schanzer JD                , CEDAR REALTY TRUST INC
Bruno Guilmart                   , KULICKE & SOFFA INDUSTRIES
Bryan Stockton                   , MATTEL INC
Bryan DeBoer                     , LITHIA MOTORS INC  -CL A
Bryan Shinn                      , U S SILICA HOLDINGS INC
Bryan Bedford                    , REPUBLIC AIRWAYS HLDGS INC
C Pope                           , SMITHFIELD FOODS INC
C Lo                             , NETGEAR INC
C Nye                            , MARTIN MARIETTA MATERIALS
C McMillon                       , WAL-MART STORES INC
C Pickett CPA                    , OMEGA HEALTHCARE INVS INC
C Bradley Jr                     , AMERISAFE INC
C Sims                           , HOME BANCSHARES INC
C Petters                        , HUNTINGTON INGALLS IND INC
C Keith Cargill                  , TEXAS CAPITAL BANCSHARES INC
Carl Chapman                     , VECTREN CORP
Carl Lindner III                 , AMERICAN FINANCIAL GROUP INC
Carl Camden                      , KELLY SERVICES INC  -CL A
Carl Bass                        , AUTODESK INC
Carl Chaney                      , HANCOCK HOLDING CO
Carl Lee Jr                      , SNYDERS-LANCE INC
Carl Rubin                       , MICHAELS COS INC
Carl Trowell                     , ENSCO PLC
Carlos Cardoso                   , KENNAMETAL INC
Carlos Rodriguez                 , AUTOMATIC DATA PROCESSING
Carol Meyrowitz                  , TJX COMPANIES INC
Chad Carlson                     , STARTEK INC
Charles Bunch                    , PPG INDUSTRIES INC
Charles Swoboda                  , CREE INC
Charles Szews                    , OSHKOSH CORP
Charles Davidson                 , NOBLE ENERGY INC
Charles Moorman IV               , NORFOLK SOUTHERN CORP
Charles Sykes                    , SYKES ENTERPRISES INC
Charles Schrock                  , INTEGRYS ENERGY GROUP INC
Charles Goodson                  , PETROQUEST ENERGY INC
Charles Hageboeck PhD            , CITY HOLDING CO
Charles Narang                   , NCI INC
Charles Liang                    , SUPER MICRO COMPUTER INC
Charles Stanley                  , QEP RESOURCES INC
Charles Alutto                   , STERICYCLE INC
Charles Kummeth                  , BIO-TECHNE CORP
Charles Berger                   , EXTREME NETWORKS INC
Charles Sherwood PhD             , ANIKA THERAPEUTICS INC
Charles Scharf                   , VISA INC
Charles Dougherty                , AMERICAN SCIENCE ENGINEERING
Charles Dawson                   , SOUTHSIDE BANCSHARES INC
Cheryl Bachelder                 , POPEYES LOUISIANA KITCHEN
Chi-Foon Chan PhD                , SYNOPSYS INC
Chi-Ming Hui                     , PERICOM SEMICONDUCTOR CORP
Chong Kum                        , HANMI FINANCIAL CORP
Chris Bauer                      , ANCHOR BANCORP WISCONSIN INC
Christopher Twomey               , ARCTIC CAT INC
Christopher Connor               , SHERWIN-WILLIAMS CO
Christopher Kearney              , SPX CORP
Christopher Gardner              , VITESSE SEMICONDUCTOR CORP
Christopher Pappas               , LUBYS INC
Christopher Harris               , MONTPELIER RE HOLDINGS
Christopher Crane                , EXELON CORP
Christopher Holden               , AMSURG CORP
Christopher Oddleifson           , INDEPENDENT BANK CORP/MA
Christopher Christensen          , ENSIGN GROUP INC
Christopher Martin               , PROVIDENT FINANCIAL SVCS INC
Christopher Conway               , CLARCOR INC
Christopher O'Kane               , ASPEN INSURANCE HOLDINGS LTD
Christopher Swift CPA            , HARTFORD FINANCIAL SERVICES
Christopher Klein                , FORTUNE BRANDS HOME & SECUR
Christopher Eccleshare           , IHEARTMEDIA INC
Christopher Mapes                , LINCOLN ELECTRIC HLDGS INC
Christopher Myers                , CVB FINANCIAL CORP
Christopher Williams             , HCC INSURANCE HOLDINGS INC
Christopher Albrecht             , STARZ
Christopher Nassetta             , HILTON WORLDWIDE HOLDINGS
Clarence Otis Jr                 , DARDEN RESTAURANTS INC
Clarence Smith                   , HAVERTY FURNITURE
Claude Davis                     , FIRST FINL BANCORP INC/OH
Clay Williams                    , NATIONAL OILWELL VARCO INC
Clayton Deutsch                  , BOSTON PRIVATE FINL HOLDINGS
Clifton Sifford                  , SHOE CARNIVAL INC
Clifton Pemble                   , GARMIN LTD
Clinton Severson                 , ABAXIS INC
Clive Meanwell MD PhD            , MEDICINES CO
Colin Dyer                       , JONES LANG LASALLE INC
Colin Angle                      , IROBOT CORP
Colin Marshall                   , CLOUD PEAK ENERGY INC
Constance Lau                    , HAWAIIAN ELECTRIC INDS
Constantine Macricostas          , PHOTRONICS INC
Constantine Iordanou             , ARCH CAPITAL GROUP LTD
Craig Smith                      , OWENS & MINOR INC
Craig Martin                     , JACOBS ENGINEERING GROUP INC
Craig MacNab                     , NATIONAL RETAIL PROPERTIES
Craig Nash                       , INTERVAL LEISURE GROUP
Craig Rogerson                   , CHEMTURA CORP
Craig Morrison                   , HEXION INC
Craig Wheeler                    , MOMENTA PHARMACEUTICALS INC
Craig Bouchard                   , REAL INDUSTRY INC
Craig Bernfield JD               , AVIV REIT INC
Craig Leavitt                    , KATE SPADE & CO
Curt Culver                      , MGIC INVESTMENT CORP/WI
Curtis Stevens                   , LOUISIANA-PACIFIC CORP
Curtis Reusser                   , ESTERLINE TECHNOLOGIES CORP
Cynthia Taylor                   , OIL STATES INTL INC
D Durcan                         , MICRON TECHNOLOGY INC
D Davis                          , UNITED PARCEL SERVICE INC
D Childers                       , EXTERRAN HOLDINGS INC
D Jordan                         , FIRST HORIZON NATIONAL CORP
D Bidzos                         , VERISIGN INC
Dale Barnhart                    , LYDALL INC
Damon Hininger                   , CORRECTIONS CORP AMER
Dan Dinges                       , CABOT OIL & GAS CORP
Dan Batrack                      , TETRA TECH INC
Daniel Amos                      , AFLAC INC
Daniel Frierson                  , DIXIE GROUP INC
Daniel Feehan                    , CASH AMERICA INTL INC
Daniel Starks                    , ST JUDE MEDICAL INC
Daniel Hendrix                   , INTERFACE INC
Daniel Bernstein                 , BEL FUSE INC
Daniel Hamburger                 , DEVRY EDUCATION GROUP INC
Daniel McCartney                 , HEALTHCARE SERVICES GROUP
Daniel Hurwitz                   , DDR CORP
Daniel Moore                     , CYBERONICS INC
Daniel Glaser                    , MARSH & MCLENNAN COS
Daniel Abdun-Nabi                , EMERGENT BIOSOLUTIONS INC
Daniel Jones                     , ENCORE WIRE CORP
Daniel Schwartz                  , RESTAURANT BRANDS INTL INC
Daniel Hanrahan                  , REGIS CORP/MN
Daniel Hansen                    , SUMMIT HOTEL PROPERTIES INC
Daniel Coker                     , GENTHERM INC
Daniel Schulman                  , PAYPAL HOLDINGS INC
Dante Parrini                    , GLATFELTER
Dara Khosrowshahi                , EXPEDIA INC
Darin Billerbeck                 , LATTICE SEMICONDUCTOR CORP
Darrel Anderson                  , IDACORP INC
Darren Jackson                   , ADVANCE AUTO PARTS INC
Darren Huston                    , PRICELINE GROUP INC
David Haffner                    , LEGGETT & PLATT INC
David Overton                    , CHEESECAKE FACTORY INC
David Jaffe                      , ASCENA RETAIL GROUP INC
David Kemper                     , COMMERCE BANCSHARES INC
David Lesar BSc MBA              , HALLIBURTON CO
David Novak                      , YUM BRANDS INC
David Hannah                     , RELIANCE STEEL & ALUMINUM CO
David Pyott                      , ALLERGAN INC
David Aldrich                    , SKYWORKS SOLUTIONS INC
David Payne                      , WESTAMERICA BANCORPORATION
David Farr                       , EMERSON ELECTRIC CO
David Field                      , ENTERCOM COMMUNICATIONS CORP
David Neithercut                 , EQUITY RESIDENTIAL
David Porges                     , EQT CORP
David Levin                      , DESTINATION XL GROUP INC
David Tacelli                    , XCERRA CORP
David Emery                      , BLACK HILLS CORP
David Cote JD                    , HONEYWELL INTERNATIONAL INC
David Dvorak                     , ZIMMER BIOMET HOLDINGS INC
David Simon                      , SIMON PROPERTY GROUP INC
David Henry                      , KIMCO REALTY CORP
David Steiner                    , WASTE MANAGEMENT INC
David Barger                     , JETBLUE AIRWAYS CORP
David Welch PhD                  , STONE ENERGY CORP
David Hess Jr                    , ADVENT SOFTWARE INC
David Hoster II                  , EASTGROUP PROPERTIES
David Congdon                    , OLD DOMINION FREIGHT
David Wentz                      , USANA HEALTH SCIENCES INC
David Zalman                     , PROSPERITY BANCSHARES INC
David Yeager                     , HUB GROUP INC  -CL A
David Cordani                    , CIGNA CORP
David King                       , LABORATORY CP OF AMER HLDGS
David Brussard                   , SAFETY INSURANCE GROUP INC
David Hegarty                    , SENIOR HOUSING PPTYS TRUST
David Lissy                      , BRIGHT HORIZONS FAMILY SOLTN
David Nord                       , HUBBELL INC  -CL B
David Adams                      , CURTISS-WRIGHT CORP
David Roberts                    , CARLISLE COS INC
David Lumley                     , SPECTRUM BRANDS HOLDINGS INC
David Williams                   , NOBLE CORP PLC
David Nelms                      , DISCOVER FINANCIAL SVCS INC
David Fischer                    , GREIF INC  -CL A
David Brain                      , EPR PROPERTIES
David Stockert                   , POST PROPERTIES INC
David Rogers                     , SOVRAN SELF STORAGE INC
David Seaton                     , FLUOR CORP
David Dyer                       , CHICOS FAS INC
David Emery                      , HEALTHCARE REALTY TRUST INC
David Crane                      , NRG ENERGY INC
David Zaslav                     , DISCOVERY COMMUNICATIONS INC
David Starling                   , KANSAS CITY SOUTHERN
David Grzebinski CFA             , KIRBY CORP
David Goodin                     , MDU RESOURCES GROUP INC
David Wenner                     , B&G FOODS INC
David Driscoll                   , GETTY REALTY CORP
David Dunlap                     , SUPERIOR ENERGY SERVICES INC
David Baumgarten                 , BANK MUTUAL CORP
David Melcher                    , EXELIS INC
David Blackman                   , GOVERNMENT PPTYS INCOME TR
David Little                     , DXP ENTERPRISES INC
David Petratis                   , ALLEGION PLC
David Reis                       , STRATASYS LTD
David Dickson                    , MCDERMOTT INTL INC
David Campisi                    , BIG LOTS INC
David Mitchell                   , FABRINET
David Gallitano                  , WELLCARE HEALTH PLANS INC
David Chernow                    , SELECT MEDICAL HOLDINGS CORP
David Fisher                     , ENOVA INTERNATIONAL INC
David Provost                    , TALMER BANCORP INC
David Nunes                      , RAYONIER INC
Dawn Zier                        , NUTRISYSTEM INC
Dawne Hickton Esq                , RTI INTL METALS INC
Dean Foate                       , PLEXUS CORP
Dean Scarborough                 , AVERY DENNISON CORP
Debra Reed                       , SEMPRA ENERGY
Debra Cafaro JD                  , VENTAS INC
Deepak Chopra                    , OSI SYSTEMS INC
Denise Ramos                     , ITT CORP
Denise Morrison                  , CAMPBELL SOUP CO
Dennis Oklak                     , DUKE REALTY CORP
Dennis Glass                     , LINCOLN NATIONAL CORP
Dennis Eidson                    , SPARTANNASH CO
Dennis Nelson                    , BUCKLE INC
Dennis Nixon                     , INTL BANCSHARES CORP
Dennis Gilmore                   , FIRST AMERICAN FINANCIAL CP
Dennis Martin                    , FEDERAL SIGNAL CORP
Diana Adams                      , AMBAC FINANCIAL GROUP INC
Diane Sullivan                   , CALERES INC
Dinesh Paliwal                   , HARMAN INTERNATIONAL INDS
Dino Rossi                       , BALCHEM CORP  -CL B
Dominic Ng                       , EAST WEST BANCORP INC
Dominic Addesso CPA              , EVEREST RE GROUP LTD
Don Kania PhD                    , FEI CO
Donald Graham                    , GRAHAM HOLDINGS CO
Donald James JD                  , VULCAN MATERIALS CO
Donald Tomnitz                   , D R HORTON INC
Donald Southwell                 , KEMPER CORP/DE
Donald Duda                      , METHODE ELECTRONICS INC
Donald Washkewicz                , PARKER-HANNIFIN CORP
Donald Brandt                    , PINNACLE WEST CAPITAL CORP
Donald Knauss                    , CLOROX CO/DE
Donald Wood CPA                  , FEDERAL REALTY INVESTMENT TR
Donald Morel Jr PhD              , WEST PHARMACEUTICAL SVSC INC
Donald Slager                    , REPUBLIC SERVICES INC
Donald Brown MD                  , INTERACTIVE INTELLIGENCE GRP
Donald Thompson                  , MCDONALD'S CORP
Donald Layton ACIS LLB           , FEDERAL HOME LOAN MORTG
CORP
Donald Stebbins                  , SUPERIOR INDUSTRIES INTL
Donnie Smith                     , TYSON FOODS INC  -CL A
Douglas Berthiaume               , WATERS CORP
Douglas Oberhelman               , CATERPILLAR INC
Douglas Baker Jr                 , ECOLAB INC
Douglas Stotlar                  , CON-WAY INC
Douglas Ewert                    , MENS WEARHOUSE INC
Douglas Milroy                   , G&K SERVICES INC  -CL A
Douglas Dirks                    , EMPLOYERS HOLDINGS INC
Douglas Tough MBA BBA            , INTL FLAVORS & FRAGRANCES
Douglas Yearley Jr               , TOLL BROTHERS INC
Douglas Shaw                     , MONOTYPE IMAGING HOLDINGS
Douglas Valenti                  , QUINSTREET INC
Douglas Peterson                 , MCGRAW HILL FINANCIAL
Douglas Waggoner                 , ECHO GLOBAL LOGISTICS INC
Douglas Lebda                    , LENDINGTREE INC
Douglas Bauer                    , TRI POINTE GROUP INC
Dow Wilson                       , VARIAN MEDICAL SYSTEMS INC
Doyle Simons                     , WEYERHAEUSER CO
Dror Niv                         , FXCM INC
Dunson Cheng PhD                 , CATHAY GENERAL BANCORP
Dustan McCoy                     , BRUNSWICK CORP
Dwight Barns                     , NIELSEN NV
E Goings                         , TUPPERWARE BRANDS CORP
E Wenger                         , FULTON FINANCIAL CORP
E Santi                          , ILLINOIS TOOL WORKS
Earl Hesterberg Jr               , GROUP 1 AUTOMOTIVE INC
Eddie Capel                      , MANHATTAN ASSOCIATES INC
Edward Fritsch                   , HIGHWOODS PROPERTIES INC
Edward Wehmer                    , WINTRUST FINANCIAL CORP
Edward Graham                    , SOUTH JERSEY INDUSTRIES INC
Edward Heffernan                 , ALLIANCE DATA SYSTEMS CORP
Edward Stack                     , DICKS SPORTING GOODS INC
Edward Aldag Jr                  , MEDICAL PROPERTIES TRUST
Edward Doheny II                 , JOY GLOBAL INC
Edward Bonach                    , CNO FINANCIAL GROUP INC
Edward Pettinella                , HOME PROPERTIES INC
Edward West                      , EDUCATION MANAGEMENT CORP
Edward Rosenfeld                 , MADDEN STEVEN LTD
Edward Tilly                     , CBOE HOLDINGS INC
Edward Lampert                   , SEARS HOLDINGS CORP
Edward Lonergan                  , CHIQUITA BRANDS INTL INC
Edward Grady                     , ELECTRO SCIENTIFIC INDS INC
Efraim Grinberg                  , MOVADO GROUP INC
Elazar Rabbani PhD               , ENZO BIOCHEM INC
Ellen Gordon                     , TOOTSIE ROLL INDUSTRIES INC
Ellen Kullman                    , DU PONT E I DE NEMOURS
Emanuel Chirico                  , PVH CORP
Emil Brolick                     , WENDY'S CO
Eric Wiseman                     , VF CORP
Eric Wintemute                   , AMERICAN VANGUARD CORP
Eric Kirchner                    , UTI WORLDWIDE INC
Eric Vetter                      , UNWIRED PLANET INC
Erik Gershwind                   , MSC INDUSTRIAL DIRECT  -CL A
Erik Olsson BSc                  , MOBILE MINI INC
Errol Ginsberg                   , IXIA
Eugene Hall                      , GARTNER INC
Evan Greenberg                   , ACE LTD
F Dueser                         , FIRST FINL BANKSHARES INC
F Stepan Jr                      , STEPAN CO
F Ball                           , HOSPIRA INC
F Grasberger III                 , HARSCO CORP
F Leighton                       , AKAMAI TECHNOLOGIES INC
Fabrizio Freda                   , LAUDER ESTEE COS INC -CL A
Federico Pignatelli              , BIOLASE INC
Francis Blake                    , HOME DEPOT INC
Francis Kramer                   , II-VI INC
Francis Malecha                  , COMPASS MINERALS INTL INC
Francis Lobo                     , UNITED ONLINE INC
Francisco DSouza                 , COGNIZANT TECH SOLUTIONS
Frank Hermance                   , AMETEK INC
Frank Martire                    , FIDELITY NATIONAL INFO SVCS
Frank Bisignano                  , FIRST DATA CORP
Franklin Witney PhD              , AFFYMETRIX INC
Frdric Villoutreix               , SCHWEITZER-MAUDUIT INTL INC
Fred Bauer                       , GENTEX CORP
Fred Kornberg                    , COMTECH TELECOMMUN
Fred Lampropoulos                , MERIT MEDICAL SYSTEMS INC
Frederick Smith                  , FEDEX CORP
Frederick Eppinger Jr            , HANOVER INSURANCE GROUP INC
Frederick Waddell                , NORTHERN TRUST CORP
Frederick Henderson              , SUNCOKE ENERGY INC
Fredric Tomczyk                  , TD AMERITRADE HOLDING CORP
Friedhelm Blobel PhD             , SCICLONE PHARMACEUTICALS INC
Frits van Paasschen              , STARWOOD HOTELS&RESORTS WRLD
G Farris                         , APACHE CORP
G Tuttle                         , SILICON LABORATORIES INC
G Evans                          , INTELIQUENT INC
Gabriel Tirador                  , MERCURY GENERAL CORP
Gail Goodman                     , CONSTANT CONTACT INC
Gale Klappa                      , WEC ENERGY GROUP INC
Garry Ridge                      , WD-40 CO
Garry Rogerson PhD               , ADVANCED ENERGY INDS INC
Gary Rollins                     , ROLLINS INC
Gary Loveman PhD                 , CAESARS ENTERTAINMENT CORP
Gary Smith                       , CIENA CORP
Gary Kelly                       , SOUTHWEST AIRLINES
Gary Burnison                    , KORN/FERRY INTERNATIONAL
Gary Guthart PhD                 , INTUITIVE SURGICAL INC
Gary Rodkin                      , CONAGRA FOODS INC
Gary Hendrickson                 , VALSPAR CORP
Gary Kolstad                     , CARBO CERAMICS INC
Gary Lauer                       , EHEALTH INC
Gary Schoenfeld                  , PACIFIC SUNWEAR CALIF INC
Gary Crosby                      , FIRST NIAGARA FINANCIAL GRP
Gary Heminger                    , MARATHON PETROLEUM CORP
Gary Maharaj                     , SURMODICS INC
Gary Dickerson                   , APPLIED MATERIALS INC
Gary Goldberg                    , NEWMONT MINING CORP
Gary Rich                        , PARKER DRILLING CO
Gary Halverson                   , CLIFFS NATURAL RESOURCES INC
Gayla Delly                      , BENCHMARK ELECTRONICS INC
George Paz                       , EXPRESS SCRIPTS HOLDING CO
George Freeman III               , UNIVERSAL CORP/VA
George Feldenkreis               , ELLIS PERRY INTL INC
George Barrett                   , CARDINAL HEALTH INC
George Pedersen                  , MANTECH INTL CORP
George Zoley PhD                 , GEO GROUP INC
George Oliver                    , TYCO INTERNATIONAL PLC
George Gleason                   , BANK OF THE OZARKS INC
George Colony                    , FORRESTER RESEARCH INC
George Carter                    , FRANKLIN STREET PROPERTIES
George Scangos PhD               , BIOGEN INC
George Aylward Jr CPA            , VIRTUS INVESTMENT PTNRS INC
George Babich Jr                 , CHECKPOINT SYSTEMS INC
George Makris Jr                 , SIMMONS FIRST NATL CP  -CL A
George Wilkinson                 , IMPAX LABORATORIES INC
Gerald Blouch                    , INVACARE CORP
Gerald Shreiber                  , J & J SNACK FOODS CORP
Gerald Paul                      , VISHAY INTERTECHNOLOGY INC
Gerald Hassell                   , BANK OF NEW YORK MELLON CORP
Gerald Perkel                    , PLANAR SYSTEMS INC
Gerald Colella                   , MKS INSTRUMENTS INC
Gerald Lipkin                    , VALLEY NATIONAL BANCORP
Gerald Volas                     , TOPBUILD CORP
Gerard Anderson                  , DTE ENERGY CO
Gerard Host                      , TRUSTMARK CORP
Gerhard Burbach                  , THORATEC CORP
Gideon Wertheizer                , CEVA INC
Glen Post III                    , CENTURYLINK INC
Glen Tellock                     , MANITOWOC CO
Glen Messina                     , PHH CORP
Glenn Renwick                    , PROGRESSIVE CORP-OHIO
Glenn Lyon                       , FINISH LINE INC  -CL A
Glenn Darden                     , QUICKSILVER RESOURCES INC
Glenn Murphy BA                  , GAP INC
Gordon Hunter                    , LITTELFUSE INC
Gracia Martore                   , TEGNA INC
Graham Weston                    , RACKSPACE HOSTING INC
Greg Garland                     , PHILLIPS 66
Gregg Kantor                     , NORTHWEST NATURAL GAS CO
Gregg Tanner                     , DEAN FOODS CO
Gregg Sherrill                   , TENNECO INC
Gregg Sengstack                  , FRANKLIN ELECTRIC CO INC
Gregg Engles                     , WHITEWAVE FOODS CO
Gregory Murphy                   , SELECTIVE INS GROUP INC
Gregory Werner                   , WERNER ENTERPRISES INC
Gregory Abel                     , BERKSHIRE HATHAWAY ENERGY CO
Gregory Henslee                  , O'REILLY AUTOMOTIVE INC
Gregory Johnson CPA              , FRANKLIN RESOURCES INC
Gregory Brown                    , MOTOROLA SOLUTIONS INC
Gregory Becker                   , SVB FINANCIAL GROUP
Gregory Boyce                    , PEABODY ENERGY CORP
Gregory Case                     , AON PLC
Gregory Mays                     , SIMON WORLDWIDE INC
Gregory Wasson                   , WALGREENS BOOTS ALLIANCE INC
Gregory Ebel                     , SPECTRA ENERGY CORP
Gregory Christopher              , MUELLER INDUSTRIES
Gregory Weishar                  , PHARMERICA CORP
Gregory Cappelli                 , APOLLO EDUCATION GROUP INC
Gregory Sandfort                 , TRACTOR SUPPLY CO
Gregory Lang                     , PMC-SIERRA INC
Gregory Abel                     , PACIFICORP
Gregory Goff                     , TESORO CORP
Gregory Kenny                    , GENERAL CABLE CORP/DE
Gregory Probert                  , NATURES SUNSHINE PRODS INC
Gregory Trojan                   , BJ'S RESTAURANTS INC
Gregory Garrabrants              , BOFI HOLDING INC
Gregory Stapley                  , CARETRUST REIT INC
Gregory Waters                   , INTEGRATED DEVICE TECH INC
Guenther Braun                   , ROFIN SINAR TECHNOLOGIES INC
Guy Gecht                        , ELECTRONICS FOR IMAGING INC
H Culp Jr                        , DANAHER CORP
H Whitehead                      , PENN VIRGINIA CORP
H Bolton Jr                      , MID-AMERICA APT CMNTYS INC
H Killingstad                    , TENNANT CO
Hamid Moghadam                   , PROLOGIS INC
Harold Messmer Jr                , ROBERT HALF INTL INC
Harris Simmons                   , ZIONS BANCORPORATION
Harry Herington                  , NIC INC
Harvey Kanter                    , BLUE NILE INC
Heather Bresch                   , MYLAN NV
Henrik Slipsager                 , ABM INDUSTRIES INC
Henry Gerkens                    , LANDSTAR SYSTEM INC
Henry Herrmann CFA               , WADDELL&REED FINL INC  -CL A
Henry Theisen                    , BEMIS CO INC
Henry Fernandez                  , MSCI INC
Henry Dubois                     , HOOPER HOLMES INC
Herve Hoppenot                   , INCYTE CORP
Hikmet Ersek                     , WESTERN UNION CO
Hock Tan                         , AVAGO TECHNOLOGIES LTD
Howard Woltz III                 , INSTEEL INDUSTRIES
Howard Schultz                   , STARBUCKS CORP
Howard Levine                    , FAMILY DOLLAR STORES
Howard Root                      , VASCULAR SOLUTIONS INC
